システム,算出方法,テスト仕様書_テストケース数_(予定),テスト仕様書_テストケース数_(実績),テスト仕様書_作成工数_(人日),テスト仕様書_ページ数_(ページ),テスト仕様書_文字数_(文字),テスト仕様書/テスト結果(成績表)レビュー_レビュー指摘効率,テスト仕様書/テスト結果(成績表)レビュー_合計_回数,テスト仕様書/テスト結果(成績表)レビュー_合計_時間,テスト仕様書/テスト結果(成績表)レビュー_合計_指摘数,コード行数,テストケース密度_密度,不具合密度_密度,不具合密度_件数
システム１,中央値,67.0000000000,67.0000000000,0.0100000000,5.0000000000,380.5000000000,0.0000000000,1.0000000000,0.3333333333,0.0000000000,40765.0000000000,9.1500061327,0.2698393229,11
システム１,平均値,138.0000000000,138.0000000000,0.8333333333,22.1153846154,8686.5769230769,28.2184034678,1.6969696970,3.4196969697,4.1212121212,40765.0000000000,9.1500061327,0.2698393229,11
システム１,合計値,690.0000000000,690.0000000000,25.0000000000,575.0000000000,225851.0000000000,,56.0000000000,112.8500000000,136.0000000000,40765.0000000000,9.1500061327,0.2698393229,11
システム５,中央値,103.0000000000,103.0000000000,1.0000000000,729.0000000000,92504.0000000000,320.0000000000,1.0000000000,0.5000000000,1.0000000000,,0.0000000000,,0
システム５,平均値,103.0000000000,103.0000000000,1.0000000000,729.0000000000,92504.0000000000,320.0000000000,1.0000000000,0.5000000000,1.0000000000,,0.0000000000,,0
システム５,合計値,103.0000000000,103.0000000000,1.0000000000,729.0000000000,92504.0000000000,,1.0000000000,0.5000000000,1.0000000000,,0.0000000000,,0
システム４,中央値,10.5000000000,10.5000000000,3.4735483871,10.0000000000,33302.0000000000,790.5882352941,3.0000000000,1.8333333333,10.0000000000,162.0000000000,61.7283950617,12.3456790123,2
システム４,平均値,10.7500000000,10.7500000000,4.8448387097,11.6666666667,409925.0000000000,681.6155774317,3.0000000000,3.6600000000,9.6666666667,162.0000000000,61.7283950617,12.3456790123,2
システム４,合計値,43.0000000000,43.0000000000,14.5345161290,35.0000000000,1229775.0000000000,,9.0000000000,10.9800000000,29.0000000000,162.0000000000,61.7283950617,12.3456790123,2
システム６,中央値,43.0000000000,45.5000000000,2.3137055838,44.0000000000,15617.0000000000,45.1313873043,5.0000000000,4.8893401015,1.5000000000,1397468.0000000000,0.0765670484,0.0014311598,2
システム６,平均値,49.2500000000,51.2500000000,2.6500000000,85.5000000000,35433.2500000000,40.1549793664,5.0000000000,5.6000000000,1.5000000000,1397468.0000000000,0.0765670484,0.0014311598,2
システム６,合計値,197.0000000000,205.0000000000,10.6000000000,342.0000000000,141733.0000000000,,20.0000000000,22.4000000000,6.0000000000,1397468.0000000000,0.0765670484,0.0014311598,2
