システム,算出方法,分類,プロダクト指標(外形)_ページ数_(頁),プロダクト指標(外形)_文字数_(文字),プロダクト指標(外形)_投下工数_(人月),プロダクト指標(外形)_生産性_(頁/人月),プロセス指標(レビュー)_回数_(回),プロセス指標(レビュー)_投下工数_(人時),プロセス指標(レビュー)_指摘件数_(件),レビュー_工数比率_(%),成果物作成1人月あたり_回数_(回),成果物作成1人月あたり_投下工数_工数(人時),成果物作成1人月あたり_指摘件数_(件),"1,000文字あたり_回数_(回)","1,000文字あたり_投下工数_工数(人時)","1,000文字あたり_指摘件数_(件)",1ページあたり_回数_(回),投下工数_工数(人時),指摘件数_(件),レビュー1人月あたり_指摘件数_(件)
システム１,合計値,全体,2329.0000000000,2667283.0000000000,11.8206500000,197.0280822121,171.0000000000,352.0466666667,308.0000000000,0.1569289509,12.1960424674,25.1086321473,21.9671408185,0.0641101825,0.1319869945,0.1154733112,0.0734220696,0.1511578646,0.1322455990,139.9814418543
システム１,合計値,新規,2117.0000000000,2549690.0000000000,11.3826500000,185.9848102155,131.0000000000,317.6033333333,257.0000000000,0.1484941437,9.7997625490,23.7590629881,19.2254883595,0.0513787951,0.1245654701,0.1007965674,0.0618800189,0.1500251929,0.1213982050,129.4696739119
システム１,合計値,修正,212.0000000000,117593.0000000000,0.4380000000,484.0182648402,40.0000000000,34.4433333333,51.0000000000,0.3295276972,61.2303472909,52.7244315464,78.0686927959,0.3401563018,0.2929029222,0.4336992848,0.1886792453,0.1624685535,0.2405660377,236.9108680925
システム１,中央値,全体,15.0000000000,14930.5000000000,0.0250000000,600.0000000000,1.0000000000,0.8833333333,1.0000000000,0.2427184466,50.9734513274,38.8349514563,16.5784020262,0.1574677929,0.1637660341,0.1772290316,0.0791562239,0.0677083333,0.0427272727,102.8571428571
システム１,中央値,新規,24.0000000000,20701.0000000000,0.0410000000,585.3658536585,1.0000000000,0.6666666667,0.0000000000,0.1814291272,39.6694214876,30.6322210365,0.7177844387,0.0956720764,0.1065228875,0.0948115101,0.0791562239,0.0590277778,0.0328205128,75.1854103343
システム１,中央値,修正,0.0000000000,3.0000000000,0.0065000000,0.0000000000,1.0000000000,0.9666666667,1.0000000000,0.3628318584,105.7268722467,58.0530973451,85.1612903226,7.4110671937,3.3070776256,11.7424242424,0.1583333333,0.1722222222,0.2978260870,160.0000000000
システム１,平均値,全体,26.1685393258,32527.8414634146,0.1313405556,199.2418808886,1.9000000000,3.9116296296,3.4222222222,0.2753052793,204.8618794751,44.0488446923,64.5274698220,5.5343885496,4.6227140111,14.1600386459,0.2324503373,0.2263613350,0.3173690727,258.8219305991
システム１,平均値,新規,34.7049180328,47216.4814814815,0.1866008197,185.9848102155,2.1475409836,5.2066120219,4.2131147541,0.1955187044,188.6518094351,31.2829926965,28.0021148049,0.1803878946,0.4512089699,0.3323076711,0.2148159573,0.1986652822,0.1962187121,206.2519616619
システム１,平均値,修正,7.5714285714,4199.7500000000,0.0151034483,501.3046314416,1.3793103448,1.1877011494,1.7586206897,0.4403809517,238.3999554197,70.4609522698,140.0971698575,23.8909622238,18.9250170097,61.5694019878,0.3970378846,0.4848578269,1.4481057717,345.8342929780
システム２,合計値,全体,187.0000000000,40415.0000000000,0.3765000000,496.6799468791,24.0000000000,16.2400000000,48.0000000000,0.2123430962,50.2092050209,33.9748953975,100.4184100418,0.5938389212,0.4018310033,1.1876778424,0.1283422460,0.0868449198,0.2566844920,472.9064039409
