システム,算出方法,コード行数_行,関数の数(WMC)_個,McCabe循環複雑度_個,静的解析器出力数_個,単体テストケース密度(予定)_件/KLOC,単体テストケース密度(実績)_件/KLOC,コードレビュー指摘効率_件/人月,テスト仕様書レビュー指摘効率_件/人月,ファイル数_個,コード作成工数_人日,コード行数作成工数比_行/人月,ファイル数作成工数比_個/人月,クラス数_個,単体テストケース数(予定)_件,単体テストケース数(実績)_件,C0カバレッジ_%,コードレビュー投下工数_時間,コードレビュー指摘項目数_件,テスト仕様書レビュー投下工数_時間,テスト仕様書レビュー指摘項目数_件,命令網羅(C0)_○(網羅率100%)の割合_%,命令網羅(C0)_△(網羅率100%未満)の割合_%,命令網羅(C0)_-(対象外)の割合_%,分岐網羅(C1)_○(網羅率100%)の割合_%,分岐網羅(C1)_△(網羅率100%未満)の割合_%,分岐網羅(C1)_-(対象外)の割合_%
システム１,中央値,2420.0000000000,55.0000000000,34.0000000000,,147.3799480857,131.0756002596,780.6593406593,0.0000000000,,0.0125000000,0.0000000000,,,27.0000000000,26.0000000000,1.0000000000,0.2666666667,2.0000000000,0.5000000000,0.0000000000,22.6804123711,10.3092783505,8.2474226804,22.6804123711,10.3092783505,8.2474226804
システム１,平均値,2193.6153846154,60.7692307692,43.1538461538,,147.3799480857,131.0756002596,1245.3783493719,45.0226609015,,1.1009949495,177.1540178571,24.2205167961,,52.5000000000,44.3095238095,1.0000000000,1.6182291667,2.9375000000,0.6867777778,0.2555555556,22.6804123711,10.3092783505,8.2474226804,22.6804123711,10.3092783505,8.2474226804
システム１,合計値,28517.0000000000,790.0000000000,561.0000000000,0.0000000000,,,,,44.0000000000,36.3328333333,,,44.0000000000,2310.0000000000,1861.0000000000,,51.7833333333,94.0000000000,61.8100000000,23.0000000000,22.6804123711,10.3092783505,8.2474226804,22.6804123711,10.3092783505,8.2474226804
システム３,中央値,,,,,2043.4782608696,2043.4782608696,,214.5251396648,,,,,,47.0000000000,47.0000000000,,,,2.9833333333,4.0000000000,100.0000000000,0.0000000000,0.0000000000,100.0000000000,0.0000000000,0.0000000000
システム３,平均値,,,,,2043.4782608696,2043.4782608696,,214.5251396648,,,,,,47.0000000000,47.0000000000,,,,2.9833333333,4.0000000000,100.0000000000,0.0000000000,0.0000000000,100.0000000000,0.0000000000,0.0000000000
システム３,合計値,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,0.0000000000,0.0000000000,,,0.0000000000,47.0000000000,47.0000000000,,0.0000000000,0.0000000000,2.9833333333,4.0000000000,100.0000000000,0.0000000000,0.0000000000,100.0000000000,0.0000000000,0.0000000000
システム５,中央値,,,,,,,,64.0000000000,,,,,,7.0000000000,7.0000000000,,,,1.0000000000,1.0000000000,100.0000000000,0.0000000000,0.0000000000,100.0000000000,0.0000000000,0.0000000000
システム５,平均値,,,,,,,,117.5677655678,,,,,,24.8571428571,24.8571428571,,,,1.1357142857,0.7142857143,100.0000000000,0.0000000000,0.0000000000,100.0000000000,0.0000000000,0.0000000000
システム５,合計値,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,0.0000000000,0.0000000000,,,0.0000000000,174.0000000000,174.0000000000,,0.0000000000,0.0000000000,7.9500000000,5.0000000000,100.0000000000,0.0000000000,0.0000000000,100.0000000000,0.0000000000,0.0000000000
システム６,中央値,28.0000000000,7.5000000000,0.0000000000,0.0000000000,83.3333333333,83.3333333333,0.0000000000,0.0000000000,,,,,,3.0000000000,3.0000000000,1.0000000000,0.0833333333,0.0000000000,0.5000000000,0.0000000000,100.0000000000,0.0000000000,0.0000000000,100.0000000000,0.0000000000,0.0000000000
システム６,平均値,56.4761904762,14.3690476190,0.2500000000,2.5000000000,160.0941740454,158.2265583676,28.1663401308,0.0000000000,,,,,,4.6071428571,4.4523809524,1.0000000000,0.1709920635,0.0952380952,0.4338818565,0.0000000000,100.0000000000,0.0000000000,0.0000000000,100.0000000000,0.0000000000,0.0000000000
システム６,合計値,4744.0000000000,1207.0000000000,21.0000000000,210.0000000000,,,,,84.0000000000,0.0000000000,,,84.0000000000,387.0000000000,374.0000000000,,14.3633333333,8.0000000000,34.2766666667,0.0000000000,100.0000000000,0.0000000000,0.0000000000,100.0000000000,0.0000000000,0.0000000000
