システム,算出方法,分類,プロダクト指標(外形)_ページ数_(頁),プロダクト指標(外形)_文字数_(文字),プロダクト指標(外形)_投下工数_(人月),プロダクト指標(外形)_生産性_(頁/人月),プロセス指標(レビュー)_回数_(回),プロセス指標(レビュー)_投下工数_(人時),プロセス指標(レビュー)_指摘件数_(件),レビュー_工数比率_(%),成果物作成1人月あたり_回数_(回),成果物作成1人月あたり_投下工数_工数(人時),成果物作成1人月あたり_指摘件数_(件),"1,000文字あたり_回数_(回)","1,000文字あたり_投下工数_工数(人時)","1,000文字あたり_指摘件数_(件)",1ページあたり_回数_(回),投下工数_工数(人時),指摘件数_(件),レビュー1人月あたり_指摘件数_(件)
システム１,合計値,全体,758.0000000000,617883.0000000000,3.3438333333,226.6859392912,94.0000000000,197.4233333333,136.0000000000,0.2695432142,20.5341986338,43.1269142725,29.7090533425,0.1521323616,0.3195157228,0.2201063955,0.1240105541,0.2604529464,0.1794195251,110.2200010131
システム１,合計値,新規,758.0000000000,616783.0000000000,3.3108333333,228.9453813239,83.0000000000,196.4233333333,136.0000000000,0.2704971838,18.2880645591,43.2795494085,29.9659853016,0.1345692083,0.3184642465,0.2204989437,0.1094986807,0.2591336851,0.1794195251,110.7811359818
システム１,合計値,修正,0.0000000000,1100.0000000000,0.0330000000,0.0000000000,11.0000000000,1.0000000000,0.0000000000,0.1592356688,280.2547770701,25.4777070064,0.0000000000,10.0000000000,0.9090909091,0.0000000000,,,,0.0000000000
システム１,中央値,全体,9.0000000000,2835.0000000000,0.0100000000,900.0000000000,1.0000000000,0.3500000000,0.0000000000,0.1724137931,71.2166172107,27.5862068966,0.0000000000,0.3529204274,0.1811129175,0.0000000000,0.1111111111,0.0714285714,0.0232558140,0.0000000000
システム１,中央値,新規,9.0000000000,3190.0000000000,0.0125000000,720.0000000000,1.0000000000,0.6416666667,0.0000000000,0.1864406780,58.6666666667,29.8305084746,0.0000000000,0.3216468318,0.1241002730,0.0138234196,0.1111111111,0.0714285714,0.0232558140,0.0000000000
システム１,中央値,修正,0.0000000000,100.0000000000,0.0030000000,0.0000000000,1.0000000000,0.0833333333,0.0000000000,0.1479289941,284.0236686391,23.6686390533,0.0000000000,10.0000000000,0.8333333333,0.0000000000,,,,0.0000000000
システム１,平均値,全体,11.1470588235,9086.5147058824,0.0445844444,250.0212565712,1.2533333333,2.6323111111,1.8133333333,0.2223330212,117.3774406564,35.5732833846,41.6435078658,1.8954606977,0.4636316617,0.2306109215,0.1225845070,0.1793916569,0.1597861159,151.6166197972
システム１,平均値,新規,13.2982456140,10820.7543859649,0.0517317708,257.0614807848,1.2968750000,3.0691145833,2.1250000000,0.2334055420,89.3070106629,37.3448867174,48.8009857802,0.3314267973,0.3776658420,0.2751147836,0.1225845070,0.1793916569,0.1597861159,177.6757263249
システム１,平均値,修正,0.0000000000,100.0000000000,0.0030000000,0.0000000000,1.0000000000,0.0909090909,0.0000000000,0.1579110818,280.6963060730,25.2657730850,0.0000000000,10.0000000000,0.9090909091,0.0000000000,,,,0.0000000000
システム３,合計値,全体,4.0000000000,11357.0000000000,0.0593548387,67.3913043478,2.0000000000,9.2000000000,1.0000000000,0.4920634921,17.1152518979,78.7301587302,8.5576259489,0.1761028441,0.8100730827,0.0880514220,0.5000000000,2.3000000000,0.2500000000,17.3913043478
